time,r8i1p1f1,r2i1p1f1,r30i1p1f1,r31i1p1f1,r29i1p1f1,r3i1p1f1,r6i1p1f1,r27i1p1f1,r7i1p1f1,r9i1p1f1,r26i1p1f1,r20i1p1f1,r23i1p1f1,r25i1p1f1,r24i1p1f1,r22i1p1f1,r21i1p1f1,r19i1p1f1,r18i1p1f1,r11i1p1f1,r12i1p1f1,r17i1p1f1,r16i1p1f1,r1i1p1f1,r5i1p1f1,r4i1p1f1,r28i1p1f1,r14i1p1f1,r13i1p1f1,r10i1p1f1,r15i1p1f1,r32i1p1f1
2001-04-16 00:00:00,4.730121,4.5058045,4.532342,4.624009,4.011279,4.681804,4.627768,4.731802,5.269656,4.8037286,4.5198054,4.9976587,4.775456,4.9774685,4.5512605,4.012811,4.981089,5.0154533,4.953655,4.147817,4.9833403,4.3522196,4.4673595,4.497506,4.449384,4.909027,4.4260354,4.618067,4.673457,5.0311046,4.587131,4.5834575
2001-05-16 12:00:00,4.312892,4.4912243,4.6273656,4.8688335,4.346644,4.7671266,3.7912247,4.3845005,4.825927,4.362629,4.4053683,4.118456,4.374983,4.282019,4.676664,4.790433,4.8378253,4.5361814,5.1308126,4.119718,5.064996,4.7043734,4.9670773,5.1227427,4.1131673,4.258196,4.728209,4.15613,4.53799,4.3542457,4.1499233,4.745146
2001-06-16 00:00:00,3.9113114,4.2380404,4.906912,4.6157603,4.881185,4.127987,4.484005,5.1066995,4.303018,4.5984583,4.3044157,5.2323294,4.599753,4.36116,4.2005434,4.9260283,4.8203044,4.551212,4.5279584,4.2832522,4.907809,4.7244244,4.888838,3.886086,4.6062284,4.191109,5.041448,4.263172,4.4550233,4.385414,4.2072697,4.867939
2001-07-16 12:00:00,4.7338324,4.2822194,4.271537,4.9026694,4.2456274,4.09087,4.7824464,4.4645295,4.2811527,4.5598407,4.646302,5.1263294,4.5859137,4.9680552,4.4793696,4.9457226,4.7132406,4.618997,5.3714027,4.643809,4.8391643,5.0675597,4.6879125,4.5082273,4.830155,4.922497,5.24678,4.1249127,4.3696632,4.452064,4.7026844,5.129529
2001-08-16 12:00:00,5.6528115,5.56728,4.8669286,5.4059315,4.593696,4.8041835,4.790933,4.9374943,5.246814,4.84841,5.5422916,4.8191357,5.396558,4.8454866,5.120957,4.8095345,5.1163363,5.44523,5.7772613,5.494736,5.895717,5.3793826,5.3610907,5.0710177,4.906501,4.4013553,6.0123315,4.4256563,4.709176,4.936029,5.1870613,4.884558
2001-09-16 00:00:00,5.3742223,5.6653633,5.0324364,5.576251,5.0759068,5.572347,4.9325686,5.706226,5.874044,5.479377,6.221043,5.6741447,6.2732124,4.5885963,5.25948,5.25837,6.0579042,5.931725,5.8330894,5.769137,6.269694,5.6657596,5.5042605,5.690771,6.16162,5.23684,5.840655,5.645208,5.6894846,4.827668,5.425812,5.610865
2001-10-16 12:00:00,5.7243047,5.7843137,5.2021294,6.118998,5.631384,5.278091,5.4372597,4.878601,5.5875025,5.578272,5.410578,4.654716,5.5942273,4.598913,6.1457133,5.506351,5.7761254,5.5600433,5.380305,5.6529307,5.6539574,5.349111,5.8330464,5.6479654,5.3117642,4.9098973,5.9734282,5.1968865,5.278295,5.294431,5.112881,5.6483607
2001-11-16 00:00:00,4.7932568,5.0868077,4.790693,6.006846,5.635542,5.695127,4.8929777,5.0661945,5.555188,5.454648,5.028756,5.1308527,5.147483,4.6549478,5.410944,4.8257804,5.4704413,5.0755343,5.9220514,5.2606483,5.474677,5.96634,5.381966,5.0832634,5.6242824,4.680106,5.540571,5.1753144,5.058943,5.139776,4.9846597,4.709487
2001-12-16 12:00:00,5.459292,5.299872,5.2514153,4.9859643,5.115463,4.926539,4.9243593,5.187395,4.9773326,5.5134034,5.123757,5.9587574,5.009897,4.5542917,6.3408666,5.290949,5.294977,4.7258277,5.2488537,5.54875,4.9273477,6.0468755,5.974711,5.4788623,5.3370075,4.980633,4.9245152,5.150528,4.594347,5.427665,5.0711007,5.2971587
2002-01-16 12:00:00,5.0233088,5.641582,5.527483,4.8415976,5.486109,5.1594696,4.9039874,5.491645,6.1180973,5.4658213,4.9253836,5.227703,5.238489,4.5764475,5.666565,5.936573,5.51767,4.803522,5.117254,5.0316315,5.654401,6.030225,6.0229564,6.397721,4.895515,4.923904,4.891534,5.3389425,5.237567,4.6494794,5.3954415,5.487509
2002-02-15 00:00:00,4.597877,5.496512,4.8333592,5.1583567,4.761907,5.1445556,5.7301917,5.235618,5.494119,5.066251,5.130808,4.674693,5.51655,4.6470118,5.025221,5.522758,5.0790505,5.3708076,5.083854,4.138018,4.857191,5.087992,4.7914953,5.0909786,4.7860546,4.303309,4.847205,6.013725,5.1377068,5.19031,4.848868,5.1064696
2002-03-16 12:00:00,4.334865,5.033236,5.154419,4.5343356,4.5069203,4.9806433,5.2090964,4.981113,4.6935644,4.553464,4.572111,4.5976152,4.6275043,6.2601047,4.5226784,4.6424494,4.766353,5.4013953,4.5926585,4.3697505,4.605807,4.795356,4.9564333,5.077948,4.538938,4.7945566,5.451405,5.3751965,5.184866,4.5395303,4.865026,5.095243
2002-04-16 00:00:00,4.6634493,4.950435,4.6023903,5.239605,4.82666,4.504771,4.5220227,4.9028015,5.00207,5.2225313,4.6360025,4.4167876,4.254422,4.361971,4.81747,4.865014,3.9824216,4.3367763,4.7920794,5.105741,4.559309,4.4968204,4.716648,4.8495874,5.086579,4.6472144,4.6525764,4.894857,5.195295,4.674563,4.537166,5.164459
2002-05-16 12:00:00,4.460057,4.472397,4.333204,4.3499007,4.840141,4.5060205,4.2876244,4.4533715,4.575416,4.322085,4.508581,4.678258,5.111258,4.324922,5.2733283,4.5259156,4.9529386,4.946807,4.0043125,5.069202,5.0460715,4.474139,4.559353,4.2849584,4.4527016,5.3065143,3.8788812,4.954668,3.9629102,4.8269463,4.838425,4.1312838
2002-06-16 00:00:00,4.4913826,4.7780366,3.992494,4.2685366,4.206928,4.267178,4.727422,4.9918704,4.332104,4.0538006,4.73279,4.276508,4.199237,3.9366229,4.8162684,4.3163753,4.6845317,4.243994,4.123041,4.0734606,4.3661504,5.1418447,4.233319,4.4834003,4.228649,4.1130385,4.704557,4.7878103,4.1642895,4.6951156,4.048347,4.3091974
2002-07-16 12:00:00,4.037636,4.9388676,5.260245,4.9055324,4.6725025,4.836369,4.5489964,4.505671,4.8322806,4.296192,4.6458974,4.9133596,4.442951,4.5872383,5.1084776,5.0137105,5.555508,4.334206,4.602419,4.7084947,4.4989176,5.4542813,4.9277496,4.6054277,4.806074,4.242871,4.433847,4.7794704,4.8788276,4.946012,4.4545493,4.7029376
2002-08-16 12:00:00,4.4602027,4.793345,5.4202156,5.3041058,5.001348,5.5254054,5.226772,5.370091,5.274073,5.3052244,4.57808,5.083609,4.7994056,5.2234936,4.9305754,5.355747,5.599027,4.5426598,4.922785,5.303004,4.724914,4.953361,5.84949,5.2793713,4.8136067,4.884968,4.808367,5.52458,4.5302396,6.2938385,4.910018,4.6595674
2002-09-16 00:00:00,4.957526,5.227811,5.680729,5.3063364,5.0913177,5.9215436,6.2261453,6.067084,5.9696507,5.0295815,6.2342925,5.419004,5.9396157,5.57875,5.6538854,5.5607357,6.171396,5.1167727,5.565848,5.5737414,5.387024,6.1160526,5.5011554,5.3609247,5.148883,5.1821265,5.2705107,5.7539325,5.4724145,6.013996,5.2923946,5.1815605
2002-10-16 12:00:00,5.265102,6.1928983,5.8243785,6.0117006,5.222059,5.647399,5.4660406,5.1577816,6.119275,4.965766,5.7135763,5.622416,5.8006496,5.6598053,5.7485476,5.899256,6.283383,5.19779,4.9898553,6.120621,4.855141,6.2985816,5.655833,5.673858,5.735278,5.8093653,5.5351214,6.571386,5.4174433,6.068064,4.842679,5.2702885
2002-11-16 00:00:00,5.172388,4.8459773,5.178253,5.49303,5.7003436,5.721334,5.2598734,4.773119,5.115441,5.0768423,5.857883,4.8182945,5.2368736,5.4719815,5.1935186,5.0951943,5.251874,5.8695455,4.916451,4.9282827,6.7037716,5.421859,5.1877713,5.2951903,4.7964196,5.2081094,4.8210797,5.658268,4.8922253,5.295614,4.811947,5.4350033
2002-12-16 12:00:00,6.478652,5.286342,4.3602552,4.6946187,5.194222,5.031988,5.15971,4.7474184,5.9805636,5.0193777,5.212112,4.9319115,4.61265,4.9876795,5.5202594,5.095832,5.209849,5.927599,5.90794,4.7440066,4.9926357,4.9449825,4.7694945,4.570851,5.1782556,5.5394616,5.644174,5.12656,5.1423917,4.9507017,4.9547405,5.1919003
2003-01-16 12:00:00,4.543903,5.0496135,5.0908284,5.477785,5.8532186,5.3127995,4.465322,5.683626,5.0441217,5.2293973,5.6437387,5.535686,5.03407,4.948859,5.2877665,5.219564,5.464551,4.9105353,6.110355,5.18063,5.0143228,6.158861,5.4297676,4.667179,5.845484,4.7127285,5.5357037,4.987098,5.293392,4.997665,5.154041,4.392156
2003-02-15 00:00:00,4.6276016,5.2721686,4.812641,4.9548955,5.3053365,4.6342125,4.9776955,5.379399,5.4735675,5.4980164,4.877559,5.202535,5.576405,5.77815,5.128069,4.687268,5.1947885,4.8705163,5.232308,4.5735297,5.39816,5.495437,5.1412196,4.7178907,5.2365746,5.5068674,4.497675,5.314496,5.741093,5.196933,4.538535,5.060792
2003-03-16 12:00:00,4.8984346,5.013068,4.971847,4.521644,5.0494905,5.1830554,5.3281984,4.5276117,5.1515656,5.182673,4.580877,4.875028,4.5390253,4.744753,4.8236184,5.1864886,5.407681,4.8348346,5.474615,4.8751535,4.932881,4.644495,5.0368094,4.674481,4.5114646,4.6734257,4.7066364,4.7674336,5.028747,5.4228234,4.8628664,4.254387
