time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2001-08-16 12:00:00,4.93772,5.8592324,5.000161,5.000097,5.322725,6.080577,5.388264,5.3629794,5.2127423,5.494222,4.642069,5.0474253,4.9710226,4.706215,5.219099,4.920103,5.1017413,5.7989063,5.2225327,4.693063,5.5945525,5.241227,5.0731053,5.384262,5.0213
2001-09-16 00:00:00,5.8695474,5.598878,5.52541,6.4785504,5.2318964,5.157732,5.3119526,5.530402,5.414377,5.2646275,5.932453,5.739542,5.6395264,5.3327847,6.113694,6.0717916,6.164251,5.4221272,5.6062145,5.611224,5.574684,5.7965446,5.1645174,5.4439025,5.068197
2001-10-16 12:00:00,6.207407,5.981359,6.0667515,5.8103333,6.4754376,5.6528177,6.6611385,6.4545536,5.711649,6.0291343,5.7016854,5.657038,6.2762103,5.7058215,5.124307,6.4462523,6.0487547,5.7084403,5.97452,5.882823,6.057682,6.132658,6.193475,5.813811,5.6783996
2001-11-16 00:00:00,5.529999,5.87396,5.7612977,6.0255027,6.0095344,6.7355685,6.6729965,6.194843,5.836855,6.162532,5.7880793,5.892676,6.0361567,6.357665,5.8296943,6.2627177,5.8400936,6.2702203,5.378043,5.5731845,5.7250056,5.624055,6.0656166,6.133734,5.7730365
2001-12-16 12:00:00,5.9546995,5.4641495,6.0214725,5.236307,5.57477,5.5353374,6.517394,6.2086773,5.971439,5.4798374,6.223489,5.6928535,6.448412,6.035909,5.539565,5.685972,5.8309283,5.5986905,6.0923023,6.2711487,5.671107,6.0362215,5.451498,6.3977933,6.029999
2002-01-16 12:00:00,6.1531587,5.275071,6.1018877,5.974457,5.9115124,5.927435,5.78736,6.390832,6.102139,5.2898474,5.6665854,5.772384,6.3927774,5.6291623,5.9828744,5.855522,6.0399847,5.987379,6.38478,5.9123964,6.1483893,6.1772814,5.8590655,5.8974023,6.417286
2002-02-15 00:00:00,6.3567758,5.0580235,6.36479,5.7148457,6.079279,6.0081196,5.7022095,4.9061584,5.55973,5.782964,6.1559753,6.566644,5.675532,6.1783466,5.388828,5.5770655,6.243681,5.801989,6.1765733,6.4528103,5.2236032,5.612225,5.820368,6.0283628,5.941874
2002-03-16 12:00:00,5.6150947,6.080208,5.3625255,5.8872366,5.3564115,5.809095,5.289256,5.9281745,6.088814,5.524069,5.636526,5.400686,5.614619,6.094805,5.8107815,5.519644,5.91245,5.377923,5.9782257,6.0516706,5.960962,5.9265943,5.438212,5.641176,5.994429
2002-04-16 00:00:00,5.8336635,5.169874,5.453707,6.2080035,6.1929045,6.1805744,5.451684,5.7331424,5.519392,5.406538,5.995077,6.4209194,5.4620776,5.9661145,6.188291,4.938127,5.468644,5.594091,5.4884243,5.8815656,5.3319454,4.916892,5.5805154,5.423456,6.099415
2002-05-16 12:00:00,5.825113,5.0346513,6.200905,5.04106,5.5031605,5.44203,5.6614456,5.957486,5.6655936,5.758252,6.066787,5.8293896,5.2978024,6.002617,6.0921288,4.999999,5.6531644,5.874269,6.0454197,5.5266395,4.8896847,5.796574,5.0989003,5.140699,5.768521
