time,r2i1p1f1,r3i1p1f1,r1i1p1f1
1987-07-16 12:00:00,0.11713168,0.095330164,0.11031407
1987-08-16 12:00:00,0.13334279,0.12325595,0.11147217
1987-09-16 00:00:00,0.1213557,0.124099694,0.134547
1987-10-16 12:00:00,0.12215469,0.12949057,0.12307445
1987-11-16 00:00:00,0.1322701,0.11060482,0.13381118
1987-12-16 12:00:00,0.11951202,0.11548945,0.11627775
1988-01-16 12:00:00,0.1229101,0.11568852,0.10739856
1988-02-15 12:00:00,0.1180138,0.101624005,0.10282165
1988-03-16 12:00:00,0.1023344,0.09210807,0.10644031
1988-04-16 00:00:00,0.114279635,0.0961265,0.10607796
1988-05-16 12:00:00,0.10568845,0.09725599,0.097663276
1988-06-16 00:00:00,0.104231216,0.096310474,0.102378584
1988-07-16 12:00:00,0.11424025,0.12240249,0.11556755
1988-08-16 12:00:00,0.13045807,0.10847792,0.12739873
1988-09-16 00:00:00,0.13085648,0.09779301,0.1295603
1988-10-16 12:00:00,0.12019644,0.12333673,0.11669851
1988-11-16 00:00:00,0.1255929,0.10781232,0.13003245
1988-12-16 12:00:00,0.1129444,0.1337221,0.1325793
1989-01-16 12:00:00,0.108748235,0.12012195,0.11750566
1989-02-15 00:00:00,0.10739788,0.13510697,0.115589686
1989-03-16 12:00:00,0.10682983,0.11179397,0.11013271
1989-04-16 00:00:00,0.10390281,0.11904001,0.1077354
1989-05-16 12:00:00,0.10418538,0.108731695,0.09267848
1989-06-16 00:00:00,0.11046501,0.098878555,0.101850994
1989-07-16 12:00:00,0.09997663,0.10144381,0.116206855
1989-08-16 12:00:00,0.13231428,0.14101687,0.114187516
1989-09-16 00:00:00,0.13606358,0.122129574,0.113455564
1989-10-16 12:00:00,0.13484615,0.13632874,0.12492628
1989-11-16 00:00:00,0.11262188,0.11080985,0.11339433
1989-12-16 12:00:00,0.120759614,0.11449666,0.11993445
1990-01-16 12:00:00,0.11650185,0.12523392,0.12012536
1990-02-15 00:00:00,0.11262838,0.11637629,0.11284758
1990-03-16 12:00:00,0.10099476,0.10271633,0.1133939
1990-04-16 00:00:00,0.094970904,0.11768337,0.12079893
1990-05-16 12:00:00,0.1069536,0.09079979,0.10044531
1990-06-16 00:00:00,0.09308601,0.11340108,0.0904955
1990-07-16 12:00:00,0.11937776,0.109243564,0.114936665
1990-08-16 12:00:00,0.12454255,0.1311461,0.119795464
1990-09-16 00:00:00,0.12813552,0.12715966,0.13699895
1990-10-16 12:00:00,0.1361994,0.13367432,0.11643086
1990-11-16 00:00:00,0.113562286,0.13900809,0.12431236
1990-12-16 12:00:00,0.13976915,0.13153377,0.12174257
1991-01-16 12:00:00,0.13602385,0.11358577,0.12320797
1991-02-15 00:00:00,0.1176226,0.104340464,0.11092741
1991-03-16 12:00:00,0.101326324,0.10901348,0.11614312
1991-04-16 00:00:00,0.10453172,0.10031445,0.11362694
1991-05-16 12:00:00,0.10961421,0.1032825,0.107008725
1991-06-16 00:00:00,0.11299358,0.11762833,0.1049055
1991-07-16 12:00:00,0.11169829,0.12059646,0.10351879
1991-08-16 12:00:00,0.121527195,0.13166371,0.12697847
1991-09-16 00:00:00,0.13434461,0.12420946,0.13090895
1991-10-16 12:00:00,0.12833776,0.12005189,0.12953271
1991-11-16 00:00:00,0.120757714,0.122309595,0.10666507
1991-12-16 12:00:00,0.12778352,0.12133115,0.13657786
1992-01-16 12:00:00,0.1136881,0.12208262,0.12097667
1992-02-15 12:00:00,0.10620251,0.13196492,0.122596614
1992-03-16 12:00:00,0.104691245,0.12640822,0.105754994
1992-04-16 00:00:00,0.11282992,0.10976215,0.1131021
1992-05-16 12:00:00,0.09734649,0.12662613,0.103574134
1992-06-16 00:00:00,0.11039131,0.11462345,0.094090864
1992-07-16 12:00:00,0.12111974,0.09915449,0.11077608
1992-08-16 12:00:00,0.11163616,0.126684,0.12146684
1992-09-16 00:00:00,0.13199015,0.11345117,0.12499246
1992-10-16 12:00:00,0.10878176,0.12726758,0.12492716
1992-11-16 00:00:00,0.12430979,0.10785431,0.11505809
1992-12-16 12:00:00,0.12436839,0.113402806,0.12617038
1993-01-16 12:00:00,0.13080522,0.12508455,0.1154136
1993-02-15 00:00:00,0.12091617,0.11754151,0.118946694
1993-03-16 12:00:00,0.10064339,0.10352758,0.10818783
1993-04-16 00:00:00,0.10316524,0.099279076,0.10310437
1993-05-16 12:00:00,0.10460956,0.10124529,0.1091543
1993-06-16 00:00:00,0.113681816,0.10272784,0.10020339
1993-07-16 12:00:00,0.11840492,0.10717784,0.105742924
1993-08-16 12:00:00,0.1410743,0.11801802,0.13095503
1993-09-16 00:00:00,0.12808767,0.13100474,0.12596077
1993-10-16 12:00:00,0.13650432,0.11099585,0.12542157
1993-11-16 00:00:00,0.1329359,0.1339089,0.100333475
1993-12-16 12:00:00,0.12607878,0.11727997,0.11584094
1994-01-16 12:00:00,0.1230362,0.1323883,0.13655812
1994-02-15 00:00:00,0.11168585,0.11593578,0.091264114
1994-03-16 12:00:00,0.102788724,0.11624036,0.09548573
1994-04-16 00:00:00,0.11421539,0.112065695,0.106228
1994-05-16 12:00:00,0.0965144,0.1015318,0.097360425
1994-06-16 00:00:00,0.09972629,0.1033303,0.09836541
1994-07-16 12:00:00,0.10227901,0.115442276,0.11149425
1994-08-16 12:00:00,0.111547954,0.1113573,0.12763648
1994-09-16 00:00:00,0.12295094,0.12051186,0.12633616
1994-10-16 12:00:00,0.11034848,0.13408384,0.12869424
1994-11-16 00:00:00,0.12001902,0.12040885,0.12679327
1994-12-16 12:00:00,0.12227052,0.11637862,0.13246581
1995-01-16 12:00:00,0.11229716,0.12174529,0.1123404
1995-02-15 00:00:00,0.1195883,0.11863256,0.119080424
1995-03-16 12:00:00,0.12453391,0.12805769,0.11396931
1995-04-16 00:00:00,0.111405425,0.10019972,0.109827824
1995-05-16 12:00:00,0.10093717,0.092428826,0.107505314
1995-06-16 00:00:00,0.101891585,0.11147046,0.11571782
1995-07-16 12:00:00,0.108733885,0.106149636,0.117541656
1995-08-16 12:00:00,0.12426034,0.117710814,0.11826837
1995-09-16 00:00:00,0.13376011,0.110540785,0.13016896
1995-10-16 12:00:00,0.12629701,0.12123221,0.13066909
1995-11-16 00:00:00,0.11795293,0.13318153,0.12531012
1995-12-16 12:00:00,0.11707908,0.1223327,0.11151153
1996-01-16 12:00:00,0.116711095,0.11284258,0.12587595
1996-02-15 12:00:00,0.10944086,0.10984103,0.12317698
1996-03-16 12:00:00,0.112866156,0.114285305,0.118421644
1996-04-16 00:00:00,0.10426951,0.10866601,0.11604675
1996-05-16 12:00:00,0.094096735,0.098528415,0.11062268
1996-06-16 00:00:00,0.1001218,0.119180344,0.11366151
1996-07-16 12:00:00,0.113253616,0.12887135,0.10104955
1996-08-16 12:00:00,0.13233311,0.1277649,0.13174185
1996-09-16 00:00:00,0.13367644,0.13678691,0.12548341
1996-10-16 12:00:00,0.12805349,0.13317841,0.13790375
1996-11-16 00:00:00,0.120298415,0.13422337,0.1383418
1996-12-16 12:00:00,0.13228273,0.12044674,0.11980873
1997-01-16 12:00:00,0.118029945,0.133353,0.10853959
1997-02-15 00:00:00,0.124334134,0.113543384,0.107273676
1997-03-16 12:00:00,0.111739315,0.104258575,0.115771495
1997-04-16 00:00:00,0.11985931,0.10172886,0.11531908
1997-05-16 12:00:00,0.10546416,0.095352575,0.10293476
1997-06-16 00:00:00,0.117694184,0.10177825,0.10991263
1997-07-16 12:00:00,0.120434314,0.11017255,0.122313276
1997-08-16 12:00:00,0.1444623,0.13357185,0.13060217
1997-09-16 00:00:00,0.12351823,0.12672734,0.13111386
1997-10-16 12:00:00,0.12526351,0.11616906,0.13744062
1997-11-16 00:00:00,0.12710924,0.1168849,0.116063245
1997-12-16 12:00:00,0.13048406,0.12707385,0.118045665
1998-01-16 12:00:00,0.14048116,0.12326676,0.12890902
1998-02-15 00:00:00,0.12034392,0.12556018,0.13541378
1998-03-16 12:00:00,0.12287565,0.12042804,0.11888595
1998-04-16 00:00:00,0.11367826,0.105920725,0.11223619
1998-05-16 12:00:00,0.115843266,0.10227516,0.102237254
1998-06-16 00:00:00,0.108084366,0.09813868,0.11242708
1998-07-16 12:00:00,0.11799223,0.11545743,0.118963905
1998-08-16 12:00:00,0.12614305,0.111372605,0.12424725
1998-09-16 00:00:00,0.10480293,0.14240748,0.13110958
1998-10-16 12:00:00,0.14277989,0.15046178,0.124874145
1998-11-16 00:00:00,0.12979564,0.106851056,0.11362302
1998-12-16 12:00:00,0.13323368,0.122399434,0.13464905
1999-01-16 12:00:00,0.11062748,0.11419707,0.12552036
1999-02-15 00:00:00,0.11867371,0.1265632,0.12747373
1999-03-16 12:00:00,0.11836555,0.13532375,0.10367918
1999-04-16 00:00:00,0.110710725,0.11661302,0.107642606
