time,r5i1p1f1,r13i1p1f1,r19i1p1f1,r9i1p1f1,r3i1p1f1,r12i1p1f1,r1i1p1f1,r4i1p1f1,r11i1p1f1,r14i1p1f1,r29i1p1f1,r6i1p1f1,r26i1p1f1,r2i1p1f1,r7i1p1f1
1981-06-16 00:00:00,0.10864251,0.106554426,0.1087496,0.1191191,0.11239553,0.11612783,0.11796888,0.112254575,0.10661638,0.10435924,0.10075656,0.106776975,0.117926486,0.12254841,0.10049288
1981-07-16 12:00:00,0.1306832,0.107662566,0.124287605,0.12816066,0.099505894,0.11776192,0.10557505,0.120089546,0.10256673,0.09404966,0.11204537,0.10107938,0.13069218,0.11459053,0.10246828
1981-08-16 12:00:00,0.12305447,0.1175804,0.118741386,0.14136815,0.10455593,0.12206164,0.129172,0.111777194,0.116616525,0.12850016,0.13568324,0.117995694,0.12967259,0.13326854,0.12572934
1981-09-16 00:00:00,0.14223519,0.13575183,0.119735695,0.13111351,0.13190694,0.13643533,0.13217679,0.119562164,0.12726453,0.13776928,0.11433461,0.13075791,0.12715782,0.13521557,0.12206356
1981-10-16 12:00:00,0.13538808,0.13260879,0.1255779,0.12212931,0.12859036,0.14143945,0.13652015,0.12227911,0.13687763,0.1257866,0.12369136,0.14313139,0.15309353,0.12935768,0.13194051
1981-11-16 00:00:00,0.16431274,0.13797419,0.14273478,0.13985854,0.15361723,0.14996086,0.13206084,0.13743997,0.13832201,0.13858035,0.12714027,0.16025485,0.1526645,0.14189117,0.14524576
1981-12-16 12:00:00,0.16576314,0.1330798,0.14631785,0.16389823,0.14588565,0.1514357,0.13742225,0.13965867,0.15314215,0.14987206,0.1418496,0.14850526,0.13850553,0.14509472,0.16561691
1982-01-16 12:00:00,0.14561687,0.14689879,0.15276912,0.1456683,0.13809593,0.14192878,0.14232773,0.1488607,0.14368702,0.13877156,0.14214402,0.1292319,0.15170316,0.13529737,0.13888039
1982-02-15 00:00:00,0.1490151,0.13730879,0.1338465,0.12910222,0.13929659,0.15164897,0.13288832,0.14073108,0.14102232,0.12898408,0.14742881,0.13866998,0.1363992,0.1471354,0.16343579
1982-03-16 12:00:00,0.12806374,0.114755504,0.13759992,0.121915534,0.13507758,0.10664639,0.12147042,0.13001162,0.13327812,0.12834495,0.12987514,0.13506375,0.12440483,0.12853162,0.13505442
