time,r1i1p1f1,r4i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r5i1p1f1
1984-05-16 12:00:00,0.049177766,0.05024167,0.044975787,0.050993666,0.029059505,0.051104978
1984-06-16 00:00:00,0.041874584,0.050223365,0.04558594,0.046104446,0.0481954,0.061603136
1984-07-16 12:00:00,0.035466693,0.034136336,0.057641715,0.036953446,0.050326746,0.051352374
1984-08-16 12:00:00,0.031109545,0.0308111,0.028138446,0.029667418,0.03602732,0.04179562
1984-09-16 00:00:00,0.048262276,0.040248748,0.03821356,0.04066422,0.0443243,0.033334807
1984-10-16 12:00:00,0.050531134,0.05912399,0.03559693,0.04411896,0.050762307,0.058449365
1984-11-16 00:00:00,0.053326342,0.09269044,0.05301845,0.050492637,0.037491933,0.052403502
1984-12-16 12:00:00,0.06005584,0.070926815,0.067063384,0.0641728,0.0648792,0.06310271
1985-01-16 12:00:00,0.071040146,0.064332515,0.062136155,0.060115546,0.06586401,0.06540942
1985-02-15 00:00:00,0.063822396,0.07032217,0.07076616,0.054629657,0.06902459,0.053956673
1985-03-16 12:00:00,0.061658368,0.054633666,0.07879366,0.043651838,0.060422126,0.058662377
1985-04-16 00:00:00,0.051085155,0.054342285,0.05975195,0.04776715,0.055110496,0.045863062
1985-05-16 12:00:00,0.049599312,0.044084765,0.037858356,0.029978067,0.037125565,0.050122954
1985-06-16 00:00:00,0.030681498,0.06374084,0.03626667,0.045951698,0.060328066,0.042921
1985-07-16 12:00:00,0.038480368,0.07096458,0.029931387,0.052579936,0.03744694,0.031098539
1985-08-16 12:00:00,0.034844704,0.0640919,0.048609115,0.030803794,0.030152522,0.041020717
1985-09-16 00:00:00,0.052781157,0.07209835,0.054211047,0.04550424,0.041360427,0.03743896
1985-10-16 12:00:00,0.07024923,0.06474176,0.070076026,0.05857215,0.08013936,0.0509681
1985-11-16 00:00:00,0.070744894,0.058912,0.052121256,0.06411259,0.05726262,0.06829016
1985-12-16 12:00:00,0.068262756,0.05143068,0.075180344,0.06035116,0.057720125,0.061437525
1986-01-16 12:00:00,0.05200737,0.0643134,0.073317066,0.070526056,0.058552064,0.065845996
1986-02-15 00:00:00,0.059272893,0.06986248,0.07211635,0.087960556,0.0835907,0.06708923
1986-03-16 12:00:00,0.05957267,0.056703556,0.053960104,0.07317995,0.05963773,0.046503186
1986-04-16 00:00:00,0.06153201,0.053471316,0.046613034,0.053049557,0.045388415,0.04940074
1986-05-16 12:00:00,0.03323775,0.04315459,0.048349205,0.059308153,0.03292549,0.043582126
1986-06-16 00:00:00,0.04517569,0.055491235,0.051392052,0.049504198,0.051758856,0.040730383
