time,r7i1p1f1,r3i1p1f1,r13i1p1f1,r19i1p1f1,r6i1p1f1,r5i1p1f1,r9i1p1f1,r29i1p1f1,r14i1p1f1,r26i1p1f1,r4i1p1f1,r12i1p1f1,r1i1p1f1,r11i1p1f1,r2i1p1f1
1981-06-16 00:00:00,0.10049288,0.11239553,0.10655441,0.1087496,0.106776975,0.10864251,0.1191191,0.10075656,0.10435924,0.11792648,0.11225458,0.11612785,0.117968865,0.10661638,0.12254841
1981-07-16 12:00:00,0.10246828,0.099505894,0.107662566,0.124287605,0.10107938,0.1306832,0.12816066,0.11204537,0.09404966,0.13069218,0.120089546,0.11776192,0.10557505,0.10256673,0.11459054
1981-08-16 12:00:00,0.12572934,0.10455593,0.1175804,0.11874136,0.117995694,0.12305447,0.14136815,0.13568324,0.12850016,0.12967259,0.1117772,0.12206164,0.129172,0.116616525,0.13326852
1981-09-16 00:00:00,0.12206357,0.13190694,0.13575183,0.119735695,0.13075791,0.14223519,0.13111351,0.11433463,0.13776927,0.1271578,0.119562164,0.13643533,0.13217677,0.12726454,0.13521557
1981-10-16 12:00:00,0.13194053,0.12859036,0.13260879,0.12557791,0.14313139,0.13538808,0.122129306,0.12369136,0.1257866,0.15309353,0.12227911,0.14143945,0.13652015,0.13687763,0.12935768
1981-11-16 00:00:00,0.14524576,0.15361725,0.13797419,0.14273478,0.16025487,0.16431274,0.13985854,0.12714027,0.13858035,0.1526645,0.13743997,0.14996086,0.13206084,0.13832201,0.14189118
1981-12-16 12:00:00,0.16561691,0.14588566,0.1330798,0.14631785,0.14850524,0.16576314,0.16389821,0.1418496,0.14987205,0.13850553,0.13965867,0.15143572,0.13742225,0.15314214,0.14509472
1982-01-16 12:00:00,0.13888039,0.13809593,0.14689879,0.15276912,0.12923189,0.14561689,0.1456683,0.14214402,0.13877156,0.15170316,0.1488607,0.14192879,0.14232774,0.14368702,0.13529737
1982-02-15 00:00:00,0.16343579,0.13929659,0.13730879,0.1338465,0.13866998,0.1490151,0.12910223,0.14742881,0.12898406,0.13639921,0.14073108,0.15164898,0.13288832,0.14102232,0.1471354
1982-03-16 12:00:00,0.13505442,0.13507758,0.114755504,0.13759992,0.13506375,0.12806374,0.121915534,0.12987514,0.12834495,0.12440483,0.13001162,0.10664639,0.121470414,0.13327812,0.12853162
1982-04-16 00:00:00,0.122611605,0.12300006,0.118916504,0.11617287,0.11878299,0.10724607,0.122799486,0.10243534,0.11927804,0.12854633,0.111591846,0.11719683,0.10758307,0.12113636,0.10757472
1982-05-16 12:00:00,0.11653043,0.11187076,0.09903871,0.11584962,0.11640695,0.11003622,0.108038895,0.10240176,0.106776826,0.12311503,0.09508901,0.11964593,0.11264367,0.10456745,0.11373105
1982-06-16 00:00:00,0.11806983,0.09550668,0.11041862,0.12602131,0.11071154,0.12018136,0.11615893,0.1035539,0.114852615,0.12000892,0.10190722,0.11916369,0.10770915,0.0915724,0.110804625
1982-07-16 12:00:00,0.12453412,0.100098446,0.10174643,0.11621748,0.108631186,0.118535034,0.11268755,0.11242628,0.11044894,0.11334797,0.11003674,0.11542907,0.11871263,0.11303539,0.108536646
